lang,form,PRET.SG,PRET.PL,PTCP,proto_gem_form,links,class_n
isl,ríða,,,,rīdaną,https://en.wiktionary.org//wiki/r%C3%AD%C3%B0a#Icelandic,1
isl,bíða,,,,bīdaną,https://en.wiktionary.org//wiki/b%C3%AD%C3%B0a#Icelandic,1
isl,bíta,,,,bītaną,https://en.wiktionary.org//wiki/b%C3%ADta#Icelandic,1
isl,skína,skín,skinu,skinið,skīnaną,https://en.wiktionary.org//wiki/sk%C3%ADna#Icelandic,1
isl,snikka,,,,snīþaną,https://en.wiktionary.org//w/index.php?title=snikka&action=edit&redlink=1,1
isl,rísa,,,,rīsaną,https://en.wiktionary.org//wiki/r%C3%ADsa#Icelandic,1
isl,blífa,blífur,blifu,blifið,bilībaną,https://en.wiktionary.org//wiki/bl%C3%ADfa#Icelandic,1
isl,drífa,,,,drībaną,https://en.wiktionary.org//wiki/dr%C3%ADfa#Icelandic,1
isl,grípa,greip,gripu,gripið,grīpaną,https://en.wiktionary.org//wiki/gr%C3%ADpa#Icelandic,1
isl,líða,,,,līþaną,https://en.wiktionary.org//wiki/l%C3%AD%C3%B0a#Icelandic,1
isl,skíta,skeit,skitu,skitið,skītaną,https://en.wiktionary.org//wiki/sk%C3%ADta#Icelandic,1
isl,skrifa,skrifaði,skrifuðu,skrifað,skrībaną,https://en.wiktionary.org//wiki/skrifa#Icelandic,1
isl,skríða,,,,skrīþaną,https://en.wiktionary.org//wiki/skr%C3%AD%C3%B0a#Icelandic,1
isl,slíta,,,,slītaną,https://en.wiktionary.org//wiki/sl%C3%ADta#Icelandic,1
isl,snjóa,snjóar,snjóuðu,snjóað,snīwaną,https://en.wiktionary.org//wiki/snj%C3%B3a#Icelandic,1
isl,spýja,,,,spīwaną,https://en.wiktionary.org//wiki/sp%C3%BDja#Icelandic,1
isl,stíga,,,,stīganą,https://en.wiktionary.org//wiki/st%C3%ADga#Icelandic,1
isl,rita,,,,wrītaną,https://en.wiktionary.org//wiki/rita#Icelandic,1
isl,gjóta,,,,geutaną,https://en.wiktionary.org//wiki/gj%C3%B3ta#Icelandic,2
isl,bjóða,,,,beudaną,https://en.wiktionary.org//wiki/bj%C3%B3%C3%B0a#Icelandic,2
isl,fljúga,flaug,flugu,flogið,fleuganą,https://en.wiktionary.org//wiki/flj%C3%BAga#Icelandic,2
isl,brugga,,,,brewwaną,https://en.wiktionary.org//wiki/brugga#Icelandic,2
isl,ljúga,,,,leuganą,https://en.wiktionary.org//wiki/lj%C3%BAga#Icelandic,2
isl,flýja,,,,fleuhaną,https://en.wiktionary.org//wiki/fl%C3%BDja#Icelandic,2
isl,fljóta,,,,fleutaną,https://en.wiktionary.org//wiki/flj%C3%B3ta#Icelandic,2
isl,frjósa,,,,freusaną,https://en.wiktionary.org//wiki/frj%C3%B3sa#Icelandic,2
isl,fyrirbjóða,,,,furibeudaną,https://en.wiktionary.org//wiki/fyrirbj%C3%B3%C3%B0a#Icelandic,2
isl,kjósa,,,,keusaną,https://en.wiktionary.org//wiki/kj%C3%B3sa#Icelandic,2
isl,tyggja,,,,kewwaną,https://en.wiktionary.org//wiki/tyggja#Icelandic,2
isl,krjúpa,,,,kreupaną,https://en.wiktionary.org//wiki/krj%C3%BApa#Icelandic,2
isl,ljúka,lauk,luku,lokið,lūkaną,https://en.wiktionary.org//wiki/lj%C3%BAka#Icelandic,2
