lang,form,PRET.SG,PRET.PL,PTCP,proto_gem_form,links,class_n,Note,Pattern,simple_pattern_sing,simple_pattern_pl
isl,riða,reið,riðum,riðið,rīdaną,https://en.wiktionary.org//wiki/r%C3%AD%C3%B0a#Icelandic,1,,ABAA,ABA,AAA
isl,biða,beið,biðum,beðið,bīdaną,https://en.wiktionary.org//wiki/b%C3%AD%C3%B0a#Icelandic,1,,ABAC,ABC,AAB
isl,bita,beit,bitum,bitið,bītaną,https://en.wiktionary.org//wiki/b%C3%ADta#Icelandic,1,,ABAA,ABA,AAA
isl,skina,skin,skinu,skinið,skīnaną,https://en.wiktionary.org//wiki/sk%C3%ADna#Icelandic,1,,AAAA,AAA,AAA
isl,sniða,sneið,sniðum,sniðið,snīþaną,https://en.wiktionary.org/wiki/sn%C3%AD%C3%B0a#Icelandic,1,,ABAA,ABA,AAA
isl,risa,reis,risum,risið,rīsaną,https://en.wiktionary.org//wiki/r%C3%ADsa#Icelandic,1,,ABAA,ABA,AAA
isl,blifa,blifur,blifu,blifið,bilībaną,https://en.wiktionary.org//wiki/bl%C3%ADfa#Icelandic,1,,AAAA,AAA,AAA
isl,drifa,dreif,drifum,drifið,drībaną,https://en.wiktionary.org//wiki/dr%C3%ADfa#Icelandic,1,,ABAA,ABA,AAA
isl,gripa,greip,gripu,gripið,grīpaną,https://en.wiktionary.org//wiki/gr%C3%ADpa#Icelandic,1,,ABAA,ABA,AAA
isl,liða,leið,liðum,liðið,līþaną,https://en.wiktionary.org//wiki/l%C3%AD%C3%B0a#Icelandic,1,,ABAA,ABA,AAA
isl,skita,skeit,skitu,skitið,skītaną,https://en.wiktionary.org//wiki/sk%C3%ADta#Icelandic,1,,ABAA,ABA,AAA
isl,skrifa,skrifaði,skrifuðu,skrifað,skrībaną,https://en.wiktionary.org//wiki/skrifa#Icelandic,1,,AAAA,AAA,AAA
isl,skriða,skreið,skriðum,skriðið,skrīþaną,https://en.wiktionary.org//wiki/skr%C3%AD%C3%B0a#Icelandic,1,,ABAA,ABA,AAA
isl,slita,sleit,slitum,slitið,slītaną,https://en.wiktionary.org//wiki/sl%C3%ADta#Icelandic,1,,ABAA,ABA,AAA
isl,snjoa,snjoar,snjouðu,snjoað,snīwaną,https://en.wiktionary.org//wiki/snj%C3%B3a#Icelandic,1,,AAAA,AAA,AAA
isl,spýja,spjo,spjoum,spuið,spīwaną,https://en.wiktionary.org//wiki/sp%C3%BDja#Icelandic,1,,ABCD,ABC,ABC
isl,stiga,steig,stigum,stigið,stīganą,https://en.wiktionary.org//wiki/st%C3%ADga#Icelandic,1,,ABAA,ABA,AAA
isl,rita,ritaði,rituðum,ritað,wrītaną,https://en.wiktionary.org//wiki/rita#Icelandic,1,,AAAA,AAA,AAA
isl,gjota,gaut,gutum,gotið,geutaną,https://en.wiktionary.org//wiki/gj%C3%B3ta#Icelandic,2,,ABCD,ABC,ABC
isl,bjoða,bauð,buðum,boðið,beudaną,https://en.wiktionary.org//wiki/bj%C3%B3%C3%B0a#Icelandic,2,,ABCD,ABC,ABC
isl,fljuga,flaug,flugu,flogið,fleuganą,https://en.wiktionary.org//wiki/flj%C3%BAga#Icelandic,2,,ABCD,ABC,ABC
isl,brugga,bruggaði,brugguðum,bruggað,brewwaną,https://en.wiktionary.org//wiki/brugga#Icelandic,2,,AAAA,AAA,AAA
isl,ljuga,laug,lugum,logið,leuganą,https://en.wiktionary.org//wiki/lj%C3%BAga#Icelandic,2,,ABCD,ABC,ABC
isl,flýja,fluði,fluðum,fluið,fleuhaną,https://en.wiktionary.org//wiki/fl%C3%BDja#Icelandic,2,,ABBC,ABC,ABC
isl,fljota,flaut,flutum,flotið,fleutaną,https://en.wiktionary.org//wiki/flj%C3%B3ta#Icelandic,2,,ABCD,ABC,ABC
isl,frjosa,fraus,frusum,frosið,freusaną,https://en.wiktionary.org//wiki/frj%C3%B3sa#Icelandic,2,,ABCD,ABC,ABC
isl,fyrirbjoða,,,,furibeudaną,https://en.wiktionary.org//wiki/fyrirbj%C3%B3%C3%B0a#Icelandic,2,,,,
isl,kjosa,kaus,kusum,kosið,keusaną,https://en.wiktionary.org//wiki/kj%C3%B3sa#Icelandic,2,,ABCD,ABC,ABC
isl,tyggja,tuggði,tuggðum,tuggið,kewwaną,https://en.wiktionary.org//wiki/tyggja#Icelandic,2,,ABBB,ABB,ABB
isl,krjupa,kraup,krupum,kropið,kreupaną,https://en.wiktionary.org//wiki/krj%C3%BApa#Icelandic,2,,ABCD,ABC,ABC
isl,ljuka,lauk,luku,lokið,lūkaną,https://en.wiktionary.org//wiki/lj%C3%BAka#Icelandic,2,,ABCD,ABC,ABC
isl,rjuka,rauk,rukum,rokið,reukaną,https://en.wiktionary.org//wiki/rj%C3%BAka#Icelandic,2,,ABCD,ABC,ABC
isl,skufa,,,,skeubaną,https://en.wiktionary.org//w/index.php?title=sk%C3%BAfa&action=edit&redlink=1,2,,,,
isl,skjota,skaut,skutu,skotið,skeutaną,https://en.wiktionary.org//wiki/skj%C3%B3ta#Icelandic,2,,ABCD,ABC,ABC
isl,sjuga,saug,sugu,sogið,sūganą,https://en.wiktionary.org//wiki/sj%C3%BAga#Icelandic,2,,ABCD,ABC,ABC
isl,supa,saup,supum,sopið,sūpaną,https://en.wiktionary.org//wiki/s%C3%BApa#Icelandic,2,,ABAC,ABC,AAB
isl,þreskja,þreskti,þresktu,þreskt,þreskaną,https://en.wiktionary.org//wiki/%C3%BEreskja#Icelandic,3,,AAAA,AAA,AAA
isl,sökkva,sökk,sukkum,sokkið,sinkwaną,https://en.wiktionary.org//wiki/s%C3%B6kkva#Icelandic,3,,AABC,AAB,ABC
isl,bresta,brast,brustum,brostið,brestaną,https://en.wiktionary.org//wiki/bresta#Icelandic,3,,ABCD,ABC,ABC
isl,bjarga,bjargaði,björguðum,bjargað,berganą,https://en.wiktionary.org//wiki/bjarga#Icelandic,3,,AABA,AAA,ABA
isl,binda,batt,bundum,bundið,bindaną,https://en.wiktionary.org//wiki/binda#Icelandic,3,,ABCC,ABC,ABB
isl,brenna,brann,brunnum,brunnið,brinnaną,https://en.wiktionary.org//wiki/brenna#Icelandic,3,,ABCC,ABC,ABB
isl,drekka,drakk,drukkum,drukkið,drinkaną,https://en.wiktionary.org//wiki/drekka#Icelandic,3,,ABCC,ABC,ABB
isl,,,,,fehtaną,,3,Died out,D,D,D
isl,finna,fann,fundum,fundið,finþaną,https://en.wiktionary.org//wiki/finna#Icelandic,3,,ABCC,D,ABB
isl,gjalda,galt,guldu,goldið,geldaną,https://en.wiktionary.org//wiki/gjalda#Icelandic,3,,ABCD,D,ABC
isl,hjalpa,hjalpaði,hjalpuðum,hjalpað,helpaną,https://en.wiktionary.org//wiki/hj%C3%A1lpa#Icelandic,3,,AAAA,D,AAA
isl,renna,rann,runnum,runnið,rinnaną,https://en.wiktionary.org//wiki/renna#Icelandic,3,,ABCC,D,ABB
isl,syngja,söng,sungum,sungið,singwaną,https://en.wiktionary.org//wiki/syngja#Icelandic,3,,ABCC,D,ABB
isl,smelta,,,,smeltaną,https://en.wiktionary.org//wiki/smelta#Icelandic,3,,,,
isl,spinna,spann,spunnu,spunnið,spinnaną,https://en.wiktionary.org//wiki/spinna#Icelandic,3,,ABCC,ABC,ABB
isl,springa,sprakk,sprungu,sprungið,springaną,https://en.wiktionary.org//wiki/springa#Icelandic,3,,ABCC,ABC,ABB
isl,stökkva,stökk,stukkum,stokkið,stinkwaną,https://en.wiktionary.org//wiki/st%C3%B6kkva#Icelandic,3,,AABC,AAB,ABC
isl,svella,svall,sullum,sollið,swellaną,https://en.wiktionary.org//wiki/svella#Icelandic,3,,ABCD,ABC,ABC
isl,symja,,,,swimmaną,https://en.wiktionary.org//wiki/symja#Icelandic,3,,,,
isl,verpa,varp,urpum,orpið,werpaną,https://en.wiktionary.org//wiki/verpa#Icelandic,3,,ABCD,ABC,ABC
isl,verða,varð,urðum,orðið,werþaną,https://en.wiktionary.org//wiki/ver%C3%B0a#Icelandic,3,,ABCD,ABC,ABC
isl,vinda,vatt,undum,undið,windaną,https://en.wiktionary.org//wiki/vinda#Icelandic,3,,ABCC,ABC,ABB
isl,vinna,vann,unnum,unnið,winnaną,https://en.wiktionary.org//wiki/vinna#Icelandic,3,,ABCC,ABC,ABB
isl,,,,,brekaną,,4,Died out,D,D,D
isl,bera,beraði,beruðum,berað,beraną,https://en.wiktionary.org//wiki/bera#Icelandic,4,,AAAA,D,AAA
isl,koma,kom,komum,komið,kwemaną,https://en.wiktionary.org//wiki/koma#Icelandic,4,,AAAA,D,AAA
isl,nema,nam,namum,nemið,nemaną,https://en.wiktionary.org//wiki/nema#Icelandic,4,,ABBA,D,ABA
isl,skera,skar,"	skarum",skorið,skeraną,https://en.wiktionary.org//wiki/skera#Icelandic,4,,ABBC,D,ABC
isl,stela,stal,stalum,stolið,stelaną,https://en.wiktionary.org//wiki/stela#Icelandic,4,,ABCC,D,ABB
isl,troða,troð,troðum,troðið,trudaną,https://en.wiktionary.org//wiki/tro%C3%B0a#Icelandic,4,,AAAA,AAA,AAA
isl,vega,vo,vogum,vegið,weganą,https://en.wiktionary.org//wiki/vega#Icelandic,5,,ABBA,ABA,ABA
isl,drepa,drap,drapu,drepið,drepaną,https://en.wiktionary.org//wiki/drepa#Icelandic,5,,ABBA,ABA,ABA
isl,eta,at,atu,etið,etaną,https://en.wiktionary.org//wiki/%C3%A9ta#Icelandic,5,,ABBA,ABA,ABA
isl,fyrirgefa,fyrirgaf,fyrirgafu,fyrirgefið,fragebaną,https://en.wiktionary.org//wiki/fyrirgefa#Icelandic,5,,ABBA,ABA,ABA
isl,gefa,gaf,gafum,gefið,gebaną,https://en.wiktionary.org//wiki/gefa#Icelandic,5,,ABBA,ABA,ABA
isl,lesa,las,lasum,lesið,lesaną,https://en.wiktionary.org//wiki/lesa#Icelandic,5,,ABBA,ABA,ABA
isl,reka,rak,rakum,rekið,wrekaną,https://en.wiktionary.org//wiki/reka#Icelandic,5,,ABBA,ABA,ABA
isl,biðja,bað,baðum,beðið,bidjaną,https://en.wiktionary.org//wiki/bi%C3%B0ja#Icelandic,5,,ABBC,ABC,ABC
isl,liggja,la,lagum,legið,ligjaną,https://en.wiktionary.org//wiki/liggja#Icelandic,5,,ABBC,ABC,ABC
isl,sitja,sat,satum,setið,sitjaną,https://en.wiktionary.org//wiki/sitja#Icelandic,5,,ABBC,ABC,ABC
isl,hlaða,hloð,hloðum,hlaðið,hlaþaną,https://en.wiktionary.org//wiki/hla%C3%B0a#Icelandic,6,,ABBA,ABA,ABA
isl,mala,malaði,möluðu,malað,malaną,https://en.wiktionary.org//wiki/mala#Icelandic,6,,AABA,AAA,ABA
isl,vaða,oð,oðum,vaðið,wadaną,https://en.wiktionary.org//wiki/va%C3%B0a#Icelandic,6,,ABBA,ABA,ABA
isl,baka,bakaði,bökuðum,bakað,bakaną,https://en.wiktionary.org//wiki/baka#Icelandic,6,,AABA,AAA,ABA
isl,draga,dro,drogum,dregið,draganą,https://en.wiktionary.org//wiki/draga#Icelandic,6,,ABBC,ABC,ABC
isl,fara,for,forum,farið,faraną,https://en.wiktionary.org//wiki/fara#Icelandic,6,,ABBA,ABA,ABA
isl,naga,nagaði,nöguðu,nagað,gnaganą,https://en.wiktionary.org//wiki/naga#Icelandic,6,,AABA,AAA,ABA
isl,grafa,grof,grofum,grafið,grabaną,https://en.wiktionary.org//wiki/grafa#Icelandic,6,,ABBA,ABA,ABA
isl,skafa,skafaði,sköfuðum,skafað,skabaną,https://en.wiktionary.org//wiki/skafa#Icelandic,6,,AABA,AAA,ABA
isl,sla,slo,slogum,slegið,slahaną,https://en.wiktionary.org//wiki/sl%C3%A1#Icelandic,6,,ABBC,ABC,ABC
isl,standa,stoð,stoðum,staðið,standaną,https://en.wiktionary.org//wiki/standa#Icelandic,6,,ABBA,ABA,ABA
isl,hefja,hof,hofu,hafið,habjaną,https://en.wiktionary.org//wiki/hefja#Icelandic,6,,ABBC,ABC,ABC
isl,hlæja,hlo,hlogum,hlegið,hlahjaną,https://en.wiktionary.org//wiki/hl%C3%A6ja#Icelandic,6,,ABBC,ABC,ABC
isl,skapa,skapaði,sköpuðum,skapað,skapjaną,https://en.wiktionary.org//wiki/skapa#Icelandic,6,,AABA,AAA,ABA
isl,sverja,sor,sorum,svarið,swarjaną,https://en.wiktionary.org//wiki/sverja#Icelandic,6,,ABBC,ABC,ABC
isl,vaxa,ox,uxum,vaxið,wahsijaną,https://en.wiktionary.org//wiki/vaxa#Icelandic,6,,ABCA,ABA,ABA
isl,heita,het,hetum,heitið,haitaną,https://en.wiktionary.org//wiki/heita#Icelandic,7,,ABBA,ABA,ABA
isl,höggva,hjo,hjuggum,höggvið,hawwaną,https://en.wiktionary.org//wiki/h%C3%B6ggva#Icelandic,7,,ABCA,ABA,ABA
isl,hlaupa,hljop,hlupum,hlaupið,hlaupaną,https://en.wiktionary.org//wiki/hlaupa#Icelandic,7,,ABCA,ABA,ABA
isl,banna,bannaði,bönnuðum,bannað,bannaną,https://en.wiktionary.org//wiki/banna#Icelandic,7,,AABA,AAA,ABA
isl,hanga,hekk,hengum,hangið,hanhaną,https://en.wiktionary.org//wiki/hanga#Icelandic,7,,ABBA,ABA,ABA
isl,falla,fell,fellum,fallið,fallaną,https://en.wiktionary.org//wiki/falla#Icelandic,7,,ABBA,ABA,ABA
isl,fa,fekk,fengum,fengið,fanhaną,https://en.wiktionary.org//wiki/f%C3%A1#Icelandic,7,,ABBB,ABB,ABB
isl,halda,helt,heldum,haldið,haldaną,https://en.wiktionary.org//wiki/halda#Icelandic,7,,ABBA,ABA,ABA
isl,vaska,vaskaði,vöskuðum,vaskað,waskaną,https://en.wiktionary.org//wiki/vaska#Icelandic,7,,AABA,AAA,ABA
isl,blasa,bles,blesum,blasið,blēsaną,https://en.wiktionary.org//wiki/bl%C3%A1sa#Icelandic,7,,ABBA,ABA,ABA
isl,grata,gret,gretum,gratið,grētaną,https://en.wiktionary.org//wiki/gr%C3%A1ta#Icelandic,7,,ABBA,ABA,ABA
isl,sa,,,,sēaną,https://en.wiktionary.org//wiki/s%C3%A1#Icelandic,7,,,,
isl,lata,let,letum,latið,lētaną,https://en.wiktionary.org//wiki/l%C3%A1ta#Icelandic,7,,ABBA,ABA,ABA
isl,raða,reð,reðum,raðið,rēdaną,https://en.wiktionary.org//wiki/r%C3%A1%C3%B0a#Icelandic,7,,ABBA,ABA,ABA
isl,gloa,,,,glōaną,https://en.wiktionary.org//wiki/gl%C3%B3a#Icelandic,7,,,,
eng,ride,rode,rode,ridden,rīdaną,https://en.wiktionary.org//wiki/ride#English,1,,ABBC,ABC,ABC
eng,bide,bode,bode,bidden,bīdaną,https://en.wiktionary.org//wiki/bide#English,1,,ABBC,ABC,ABC
eng,bite,bit,bit,bitten,bītaną,https://en.wiktionary.org//wiki/bite#English,1,,ABBB,ABB,ABB
eng,shine,shone,shone,shone,skīnaną,https://en.wiktionary.org//wiki/shine#English,1,,ABBB,ABB,ABB
eng,snithe,snithed,snithed,snithed,snīþaną,https://en.wiktionary.org/wiki/snithe#English,1,,AAAA,AAA,AAA
eng,rise,rose,rose,risen,rīsaną,https://en.wiktionary.org//wiki/rise#English,1,,ABBC,ABC,ABC
eng,belave,belaved,belaved,belaved,bilībaną,https://en.wiktionary.org//wiki/belave#English,1,,AAAA,AAA,AAA
eng,drive,drove,drove,driven,drībaną,https://en.wiktionary.org//wiki/drive#English,1,,ABBC,ABC,ABC
eng,gripe,griped,griped,griped,grīpaną,https://en.wiktionary.org//wiki/gripe#English,1,,AAAA,AAA,AAA
eng,,,,,līþaną,,1,Died out,D,D,D
eng,shit,shat,shat,shat,skītaną,https://en.wiktionary.org//wiki/shit#English,1,,ABBB,ABB,ABB
eng,shrive,shrove,shrove,shriven,skrībaną,https://en.wiktionary.org//wiki/shrive#English,1,,ABBC,ABC,ABC
eng,shrithe,shrithed,shrithed,shrithed,skrīþaną,https://en.wiktionary.org/wiki/shrithe#English,1,,AAAA,AAA,AAA
eng,slit,slit,slit,slit,slītaną,https://en.wiktionary.org//wiki/slit#English,1,,AAAA,AAA,AAA
eng,snew,snewed,snewed,snewed,snīwaną,https://en.wiktionary.org//wiki/snew#English,1,,AAAA,AAA,AAA
eng,spew,spewed,spewed,spewed,spīwaną,https://en.wiktionary.org//wiki/spew#English,1,,AAAA,AAA,AAA
eng,sty,stied,stied,stied,stīganą,https://en.wiktionary.org//wiki/sty#English,1,,AAAA,AAA,AAA
eng,write,wrote,wrote,written,wrītaną,https://en.wiktionary.org//wiki/write#English,1,,ABBC,ABC,ABC
eng,gut,gutted,gutted,gutted,geutaną,https://en.wiktionary.org//wiki/gut#English,2,,AAAA,AAA,AAA
eng,bid,bid,bid,bid,beudaną,https://en.wiktionary.org//wiki/bid#English,2,,AAAA,AAA,AAA
eng,fly,flew,flew,flown,fleuganą,https://en.wiktionary.org//wiki/fly#English,2,,ABBC,ABC,ABC
eng,brew,brewed,brewed,brewed,brewwaną,https://en.wiktionary.org//wiki/brew#English,2,,AAAA,AAA,AAA
eng,lie,lied,lied,lied,leuganą,https://en.wiktionary.org//wiki/lie#English,2,,AAAA,AAA,AAA
eng,flee,fled,fled,fled,fleuhaną,https://en.wiktionary.org//wiki/flee#English,2,,ABBB,ABB,ABB
eng,fleet,fleeted,fleeted,fleeted,fleutaną,https://en.wiktionary.org//wiki/fleet#English,2,,AAAA,AAA,AAA
eng,freeze,froze,froze,frozen,freusaną,https://en.wiktionary.org//wiki/freeze#English,2,,ABBB,ABB,ABB
