form,PRET.SG,PRET.PL,PTCP,links,Pattern,simple_pattern_sing,simple_pattern_pl,class_n
rīdaną,raid,ridum,ridanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/rīdaną,ABCC,ABC,ABB,1
bīdaną,baid,bidum,bidanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bīdaną,ABCC,ABC,ABB,1
bītaną,bait,bitum,bitanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bītaną,ABCC,ABC,ABB,1
skīnaną,skain,skinum,skinanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skīnaną,ABCC,ABC,ABB,1
snīþaną,snaiþ,snidum,snidanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/snīþaną,ABCC,ABC,ABB,1
rīsaną,rais,rizum,rizanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/rīsaną,ABCC,ABC,ABB,1
bilībaną,bilaib,bilibum,bilibanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bilībaną,ABCC,ABC,ABB,1
drībaną,draib,dribum,dribanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/drībaną,ABCC,ABC,ABB,1
grīpaną,graip,gripum,gripanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/grīpaną,ABCC,ABC,ABB,1
līþaną,laiþ,lidum,lidanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/līþaną,ABCC,ABC,ABB,1
skītaną,skait,skitum,skitanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skītaną,ABCC,ABC,ABB,1
skrībaną,skraib,skribum,skribanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skrībaną,ABCC,ABC,ABB,1
skrīþaną,skraiþ,skridum,skridanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skrīþaną,ABCC,ABC,ABB,1
slītaną,slait,slitum,slitanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/slītaną,ABCC,ABC,ABB,1
snīwaną,snaiw,sniwum,sniwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/snīwaną,ABCC,ABC,ABB,1
spīwaną,spaiw,spiwum,spiwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/spīwaną,ABCC,ABC,ABB,1
stīganą,staig,stigum,stiganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/stīganą,ABCC,ABC,ABB,1
wrītaną,wrait,writum,writanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/wrītaną,ABCC,ABC,ABB,1
geutaną,gaut,gutum,gutanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/geutaną,ABCC,ABC,ABB,2
beudaną,baud,budum,budanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/beudaną,ABCC,ABC,ABB,2
fleuganą,flaug,flugum,fluganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fleuganą,ABCC,ABC,ABB,2
brewwaną,brau(w),bruwum,bruwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brewwaną,ABCC,ABC,ABB,2
leuganą,laug,lugum,luganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/leuganą,ABCC,ABC,ABB,2
fleuhaną,flauh,flugum,fluganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fleuhaną,ABCC,ABC,ABB,2
fleutaną,flaut,flutum,flutanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fleutaną,ABCC,ABC,ABB,2
freusaną,fraus,fruzum,fruzanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/freusaną,ABCC,ABC,ABB,2
furibeudaną,furibaud,furibudum,furibudanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/furibeudaną,ABCC,ABC,ABB,2
keusaną,kaus,kuzum,kuzanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/keusaną,ABCC,ABC,ABB,2
kewwaną,kau(w),kuwum,kuwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/kewwaną,ABCC,ABC,ABB,2
kreupaną,kraup,krupum,krupanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/kreupaną,ABCC,ABC,ABB,2
lūkaną,lauk,lukum,lukanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/lūkaną,ABCC,ABC,ABB,2
reukaną,rauk,rukum,rukanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/reukaną,ABCC,ABC,ABB,2
skeubaną,skaub,skubum,skubanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skeubaną,ABCC,ABC,ABB,2
skeutaną,skaut,skutum,skutanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skeutaną,ABCC,ABC,ABB,2
sūganą,saug,sugum,suganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sūganą,ABCC,ABC,ABB,2
sūpaną,saup,supum,supanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sūpaną,ABCC,ABC,ABB,2
þreskaną,þrask,þruskum,þruskanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/þreskaną,ABCC,ABC,ABB,3
sinkwaną,sankw,sunkum,sunkanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sinkwaną,ABCC,ABC,ABB,3
brestaną,brast,brustum,brustanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brestaną,ABCC,ABC,ABB,3
berganą,barg,burgum,burganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/berganą,ABCC,ABC,ABB,3
bindaną,band,bundum,bundanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bindaną,ABCC,ABC,ABB,3
brinnaną,brann,brunnum,brunnanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brinnaną,ABCC,ABC,ABB,3
drinkaną,drank,drunkum,drunkanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/drinkaną,ABCC,ABC,ABB,3
fehtaną,faht,fuhtum,fuhtanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fehtaną,ABCC,ABC,ABB,3
finþaną,fanþ,fundum,fundanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/finþaną,ABCC,ABC,ABB,3
geldaną,gald,guldum,guldanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/geldaną,ABCC,ABC,ABB,3
helpaną,halp,hulpum,hulpanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/helpaną,ABCC,ABC,ABB,3
